Cod UF;UF;Sgl UF;Cod IBGE;Nome Município;Latitude;Longitude;Sgl Região;Região;Chave_Localidade;Nome Municipio Tratado
35;São Paulo;SP;3545407;SALTO GRANDE;-22,8899;-49,9836;SE;Sudeste;SP_SALTO GRANDE;SALTO GRANDE
35;São Paulo;SP;3545506;SANDOVALINA;-22,456;-51,763;SE;Sudeste;SP_SANDOVALINA;SANDOVALINA
35;São Paulo;SP;3545605;SANTA ADÉLIA;-21,2431;-48,8067;SE;Sudeste;SP_SANTA ADELIA;SANTA ADELIA
35;São Paulo;SP;3545704;SANTA ALBERTINA;-20,0316;-50,7301;SE;Sudeste;SP_SANTA ALBERTINA;SANTA ALBERTINA
35;São Paulo;SP;3545803;SANTA BÁRBARA D'OESTE;-22,7557;-47,4147;SE;Sudeste;SP_SANTA BARBARA D'OESTE;SANTA BARBARA D'OESTE
35;São Paulo;SP;3546009;SANTA BRANCA;-23,3938;-45,8879;SE;Sudeste;SP_SANTA BRANCA;SANTA BRANCA
35;São Paulo;SP;3546108;SANTA CLARA D'OESTE;-20,092;-50,9279;SE;Sudeste;SP_SANTA CLARA D'OESTE;SANTA CLARA D'OESTE
35;São Paulo;SP;3546207;SANTA CRUZ DA CONCEIÇÃO;-22,141;-47,4516;SE;Sudeste;SP_SANTA CRUZ DA CONCEICAO;SANTA CRUZ DA CONCEICAO
35;São Paulo;SP;3546256;SANTA CRUZ DA ESPERANÇA;-21,2955;-47,4308;SE;Sudeste;SP_SANTA CRUZ DA ESPERANCA;SANTA CRUZ DA ESPERANCA
35;São Paulo;SP;3546306;SANTA CRUZ DAS PALMEIRAS;-21,8239;-47,2484;SE;Sudeste;SP_SANTA CRUZ DAS PALMEIRAS;SANTA CRUZ DAS PALMEIRAS
35;São Paulo;SP;3546405;SANTA CRUZ DO RIO PARDO;-22,8992;-49,6359;SE;Sudeste;SP_SANTA CRUZ DO RIO PARDO;SANTA CRUZ DO RIO PARDO
35;São Paulo;SP;3546504;SANTA ERNESTINA;-21,463;-48,3909;SE;Sudeste;SP_SANTA ERNESTINA;SANTA ERNESTINA
35;São Paulo;SP;3546603;SANTA FÉ DO SUL;-20,2087;-50,9324;SE;Sudeste;SP_SANTA FE DO SUL;SANTA FE DO SUL
35;São Paulo;SP;3546702;SANTA GERTRUDES;-22,4577;-47,5276;SE;Sudeste;SP_SANTA GERTRUDES;SANTA GERTRUDES
35;São Paulo;SP;3546801;SANTA ISABEL;-23,3177;-46,2241;SE;Sudeste;SP_SANTA ISABEL;SANTA ISABEL
35;São Paulo;SP;3546900;SANTA LÚCIA;-21,685;-48,084;SE;Sudeste;SP_SANTA LUCIA;SANTA LUCIA
35;São Paulo;SP;3547007;SANTA MARIA DA SERRA;-22,5666;-48,1597;SE;Sudeste;SP_SANTA MARIA DA SERRA;SANTA MARIA DA SERRA
35;São Paulo;SP;3547106;SANTA MERCEDES;-21,3509;-51,7549;SE;Sudeste;SP_SANTA MERCEDES;SANTA MERCEDES
35;São Paulo;SP;3547205;SANTANA DA PONTE PENSA;-20,253;-50,7969;SE;Sudeste;SP_SANTANA DA PONTE PENSA;SANTANA DA PONTE PENSA
